Time,MeanFitness,MedianFitness,MeanAge,MedianAge,MeanGen,MedianGen,MeanChilds,MedianChilds,MeanFoodEaten,MedianFoodEaten,MeanPoisonEaten,MedianPoisonEaten,MeanMaxVel_MaxHP,MedianMaxVel_MaxHP,MeanFoodAttraction,MedianFoodAttraction,MeanPoisonAttraction,MedianPoisonAttraction,MeanFoodDistance,MedianFoodDistance,MeanPoisonDistance,MedianPoisonDistance,MeanMaxSteerForce,MedianMaxSteerForce,MeanDirAngleMult,MedianDirAngleMult
3482959,5.716539467643586,5.526751930796374,22.070366666666676,19.587000000000046,31.28421052631579,30.0,0.9552631578947368,1.0,7.607017543859649,6.0,0.3192982456140351,0.0,0.27883057416931795,0.24263426195671403,0.8561989358536344,0.909558485384132,0.16897616144258096,0.1476819060052348,0.7271287281162745,0.7270709823744608,0.6518243150406049,0.6451473624392032,0.5072617756248177,0.46239061857677155,0.49376828935832767,0.48639919225144346
3502969,5.732911981522645,5.532268973938272,22.185303030303043,19.726000000000052,31.067532467532466,30.0,0.9558441558441558,1.0,7.666666666666667,6.0,0.3168831168831169,0.0,0.2772578010934045,0.24263426195671403,0.8538500662258541,0.909558485384132,0.170764966192356,0.1476819060052348,0.7265154231331592,0.7270709823744608,0.651416869934691,0.6355658611905142,0.5124919005866717,0.46239061857677155,0.49402021408025315,0.48639919225144346
3522996,5.732911981522645,5.532268973938272,22.185303030303043,19.726000000000052,31.067532467532466,30.0,0.9558441558441558,1.0,7.666666666666667,6.0,0.3168831168831169,0.0,0.2772578010934045,0.24263426195671403,0.8538500662258541,0.909558485384132,0.170764966192356,0.1476819060052348,0.7265154231331592,0.7270709823744608,0.651416869934691,0.6355658611905142,0.5124919005866717,0.46239061857677155,0.49402021408025315,0.48639919225144346
3543003,5.732911981522645,5.532268973938272,22.185303030303043,19.726000000000052,31.067532467532466,30.0,0.9558441558441558,1.0,7.666666666666667,6.0,0.3168831168831169,0.0,0.2772578010934045,0.24263426195671403,0.8538500662258541,0.909558485384132,0.170764966192356,0.1476819060052348,0.7265154231331592,0.7270709823744608,0.651416869934691,0.6355658611905142,0.5124919005866717,0.46239061857677155,0.49402021408025315,0.48639919225144346
3563006,5.758420473353509,5.558461467058866,22.35261623931625,19.829500000000024,30.823076923076922,29.0,0.9564102564102565,1.0,7.752136752136752,6.0,0.3128205128205128,0.0,0.27557988467053346,0.2425370751284865,0.8513027977580302,0.909558485384132,0.1729537330757592,0.1476819060052348,0.7261499542074494,0.7270709823744608,0.6509144119544358,0.6346928128243428,0.518238999732972,0.46239061857677155,0.49383397606094426,0.48639919225144346
3583037,5.758420473353509,5.558461467058866,22.35261623931625,19.829500000000024,30.823076923076922,29.0,0.9564102564102565,1.0,7.752136752136752,6.0,0.3128205128205128,0.0,0.27557988467053346,0.2425370751284865,0.8513027977580302,0.909558485384132,0.1729537330757592,0.1476819060052348,0.7261499542074494,0.7270709823744608,0.6509144119544358,0.6346928128243428,0.518238999732972,0.46239061857677155,0.49383397606094426,0.48639919225144346
3603059,5.758420473353509,5.558461467058866,22.35261623931625,19.829500000000024,30.823076923076922,29.0,0.9564102564102565,1.0,7.752136752136752,6.0,0.3128205128205128,0.0,0.27557988467053346,0.2425370751284865,0.8513027977580302,0.909558485384132,0.1729537330757592,0.1476819060052348,0.7261499542074494,0.7270709823744608,0.6509144119544358,0.6346928128243428,0.518238999732972,0.46239061857677155,0.49383397606094426,0.48639919225144346
3623061,5.78037973791016,5.578530272392546,22.48360253164558,19.986000000000043,30.59746835443038,28.0,0.9561181434599156,1.0,7.823628691983123,6.0,0.3130801687763713,0.0,0.2740383791668329,0.2425370751284865,0.849225831844715,0.909558485384132,0.17514167120994148,0.1476819060052348,0.7261656454226826,0.7270709823744608,0.6506097535306491,0.6346928128243428,0.5242454563648404,0.46239061857677155,0.49373711229079875,0.48639919225144346
3643076,5.78037973791016,5.578530272392546,22.48360253164558,19.986000000000043,30.59746835443038,28.0,0.9561181434599156,1.0,7.823628691983123,6.0,0.3130801687763713,0.0,0.2740383791668329,0.2425370751284865,0.849225831844715,0.909558485384132,0.17514167120994148,0.1476819060052348,0.7261656454226826,0.7270709823744608,0.6506097535306491,0.6346928128243428,0.5242454563648404,0.46239061857677155,0.49373711229079875,0.48639919225144346
3663092,5.78037973791016,5.578530272392546,22.48360253164558,19.986000000000043,30.59746835443038,28.0,0.9561181434599156,1.0,7.823628691983123,6.0,0.3130801687763713,0.0,0.2740383791668329,0.2425370751284865,0.849225831844715,0.909558485384132,0.17514167120994148,0.1476819060052348,0.7261656454226826,0.7270709823744608,0.6506097535306491,0.6346928128243428,0.5242454563648404,0.46239061857677155,0.49373711229079875,0.48639919225144346
3683108,5.789396760060983,5.577454512834812,22.547342500000013,19.969500000000032,30.378333333333334,28.0,0.9558333333333333,1.0,7.859166666666667,6.0,0.31166666666666665,0.0,0.2732114422132531,0.2425370751284865,0.8466561236465259,0.909558485384132,0.1772602378986104,0.1476819060052348,0.726501100037972,0.7270709823744608,0.6496759563257786,0.6346928128243428,0.530087994270774,0.46356999417707306,0.49362278086755057,0.48639919225144346
3703133,5.789396760060983,5.577454512834812,22.547342500000013,19.969500000000032,30.378333333333334,28.0,0.9558333333333333,1.0,7.859166666666667,6.0,0.31166666666666665,0.0,0.2732114422132531,0.2425370751284865,0.8466561236465259,0.909558485384132,0.1772602378986104,0.1476819060052348,0.726501100037972,0.7270709823744608,0.6496759563257786,0.6346928128243428,0.530087994270774,0.46356999417707306,0.49362278086755057,0.48639919225144346
3723152,5.789396760060983,5.577454512834812,22.547342500000013,19.969500000000032,30.378333333333334,28.0,0.9558333333333333,1.0,7.859166666666667,6.0,0.31166666666666665,0.0,0.2732114422132531,0.2425370751284865,0.8466561236465259,0.909558485384132,0.1772602378986104,0.1476819060052348,0.726501100037972,0.7270709823744608,0.6496759563257786,0.6346928128243428,0.530087994270774,0.46356999417707306,0.49362278086755057,0.48639919225144346
3743180,5.789396760060983,5.577454512834812,22.547342500000013,19.969500000000032,30.378333333333334,28.0,0.9558333333333333,1.0,7.859166666666667,6.0,0.31166666666666665,0.0,0.2732114422132531,0.2425370751284865,0.8466561236465259,0.909558485384132,0.1772602378986104,0.1476819060052348,0.726501100037972,0.7270709823744608,0.6496759563257786,0.6346928128243428,0.530087994270774,0.46356999417707306,0.49362278086755057,0.48639919225144346
3763206,5.808413381469747,5.611238722421282,22.685082304526762,20.056000000000026,30.176131687242798,27.0,0.9563786008230453,1.0,7.938271604938271,6.0,0.31193415637860084,0.0,0.2723668790623928,0.23850739013096162,0.8446271452108853,0.909558485384132,0.1792158313787854,0.1476819060052348,0.7264751605476216,0.7270709823744608,0.6486383682056913,0.6346928128243428,0.5350229628369968,0.46356999417707306,0.49365712189381405,0.48639919225144346
3783224,5.808413381469747,5.611238722421282,22.685082304526762,20.056000000000026,30.176131687242798,27.0,0.9563786008230453,1.0,7.938271604938271,6.0,0.31193415637860084,0.0,0.2723668790623928,0.23850739013096162,0.8446271452108853,0.909558485384132,0.1792158313787854,0.1476819060052348,0.7264751605476216,0.7270709823744608,0.6486383682056913,0.6346928128243428,0.5350229628369968,0.46356999417707306,0.49365712189381405,0.48639919225144346
3803254,5.808413381469747,5.611238722421282,22.685082304526762,20.056000000000026,30.176131687242798,27.0,0.9563786008230453,1.0,7.938271604938271,6.0,0.31193415637860084,0.0,0.2723668790623928,0.23850739013096162,0.8446271452108853,0.909558485384132,0.1792158313787854,0.1476819060052348,0.7264751605476216,0.7270709823744608,0.6486383682056913,0.6346928128243428,0.5350229628369968,0.46356999417707306,0.49365712189381405,0.48639919225144346
3823261,5.808413381469747,5.611238722421282,22.685082304526762,20.056000000000026,30.176131687242798,27.0,0.9563786008230453,1.0,7.938271604938271,6.0,0.31193415637860084,0.0,0.2723668790623928,0.23850739013096162,0.8446271452108853,0.909558485384132,0.1792158313787854,0.1476819060052348,0.7264751605476216,0.7270709823744608,0.6486383682056913,0.6346928128243428,0.5350229628369968,0.46356999417707306,0.49365712189381405,0.48639919225144346
3843279,5.808413381469747,5.611238722421282,22.685082304526762,20.056000000000026,30.176131687242798,27.0,0.9563786008230453,1.0,7.938271604938271,6.0,0.31193415637860084,0.0,0.2723668790623928,0.23850739013096162,0.8446271452108853,0.909558485384132,0.1792158313787854,0.1476819060052348,0.7264751605476216,0.7270709823744608,0.6486383682056913,0.6346928128243428,0.5350229628369968,0.46356999417707306,0.49365712189381405,0.48639919225144346
3863304,5.843258015474577,5.625299985680453,22.930382113821157,20.10350000000003,30.003252032520326,27.0,0.9560975609756097,1.0,8.084552845528455,6.0,0.3097560975609756,0.0,0.27122383087802304,0.23850739013096162,0.8426059340231655,0.909558485384132,0.18119886591519543,0.1476819060052348,0.7265847253407798,0.7270709823744608,0.648253234197852,0.6346928128243428,0.5406284435182942,0.46402121416019765,0.49349468472232616,0.48639919225144346
3883325,5.843258015474577,5.625299985680453,22.930382113821157,20.10350000000003,30.003252032520326,27.0,0.9560975609756097,1.0,8.084552845528455,6.0,0.3097560975609756,0.0,0.27122383087802304,0.23850739013096162,0.8426059340231655,0.909558485384132,0.18119886591519543,0.1476819060052348,0.7265847253407798,0.7270709823744608,0.648253234197852,0.6346928128243428,0.5406284435182942,0.46402121416019765,0.49349468472232616,0.48639919225144346
3903352,5.843258015474577,5.625299985680453,22.930382113821157,20.10350000000003,30.003252032520326,27.0,0.9560975609756097,1.0,8.084552845528455,6.0,0.3097560975609756,0.0,0.27122383087802304,0.23850739013096162,0.8426059340231655,0.909558485384132,0.18119886591519543,0.1476819060052348,0.7265847253407798,0.7270709823744608,0.648253234197852,0.6346928128243428,0.5406284435182942,0.46402121416019765,0.49349468472232616,0.48639919225144346
3923366,5.843258015474577,5.625299985680453,22.930382113821157,20.10350000000003,30.003252032520326,27.0,0.9560975609756097,1.0,8.084552845528455,6.0,0.3097560975609756,0.0,0.27122383087802304,0.23850739013096162,0.8426059340231655,0.909558485384132,0.18119886591519543,0.1476819060052348,0.7265847253407798,0.7270709823744608,0.648253234197852,0.6346928128243428,0.5406284435182942,0.46402121416019765,0.49349468472232616,0.48639919225144346
3943375,5.856980751966133,5.626099892465475,23.025942168674714,20.10800000000006,29.83293172690763,26.0,0.9558232931726908,1.0,8.136546184738956,6.0,0.3076305220883534,0.0,0.27061429679448146,0.23850739013096162,0.8400428259012614,0.909558485384132,0.18312194674156076,0.1476819060052348,0.7266056945154138,0.7270709823744608,0.6480697402226826,0.6346928128243428,0.5457391866502249,0.46402121416019765,0.4934935953529036,0.48639919225144346
3963407,5.856980751966133,5.626099892465475,23.025942168674714,20.10800000000006,29.83293172690763,26.0,0.9558232931726908,1.0,8.136546184738956,6.0,0.3076305220883534,0.0,0.27061429679448146,0.23850739013096162,0.8400428259012614,0.909558485384132,0.18312194674156076,0.1476819060052348,0.7266056945154138,0.7270709823744608,0.6480697402226826,0.6346928128243428,0.5457391866502249,0.46402121416019765,0.4934935953529036,0.48639919225144346
3983440,5.856980751966133,5.626099892465475,23.025942168674714,20.10800000000006,29.83293172690763,26.0,0.9558232931726908,1.0,8.136546184738956,6.0,0.3076305220883534,0.0,0.27061429679448146,0.23850739013096162,0.8400428259012614,0.909558485384132,0.18312194674156076,0.1476819060052348,0.7266056945154138,0.7270709823744608,0.6480697402226826,0.6346928128243428,0.5457391866502249,0.46402121416019765,0.4934935953529036,0.48639919225144346
4003472,5.856980751966133,5.626099892465475,23.025942168674714,20.10800000000006,29.83293172690763,26.0,0.9558232931726908,1.0,8.136546184738956,6.0,0.3076305220883534,0.0,0.27061429679448146,0.23850739013096162,0.8400428259012614,0.909558485384132,0.18312194674156076,0.1476819060052348,0.7266056945154138,0.7270709823744608,0.6480697402226826,0.6346928128243428,0.5457391866502249,0.46402121416019765,0.4934935953529036,0.48639919225144346
4023477,5.880271254934674,5.636353944336268,23.19697460317462,20.202000000000034,29.677777777777777,25.5,0.9555555555555556,1.0,8.251587301587302,6.0,0.3103174603174603,0.0,0.2698431319494501,0.23807945786444112,0.8378552350188636,0.909558485384132,0.18524277709958656,0.1476819060052348,0.7267236225130993,0.7270709823744608,0.6475553870874474,0.6346928128243428,0.5510343589507039,0.46402121416019765,0.4931826603188424,0.48639919225144346
